5,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,BUSBAR #2 150kV,Oke,BUSBAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY BUSBAR #B,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,08:18:00,JAN, 13,11:30:00,192,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
6,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,KOPEL BUS 150kV,Oke,BUSBAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY KOPEL,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,08:21:00,JAN, 13,11:30:00,189,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
7,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,TRF#3 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #3 GIS 150KV PONDOK INDAH,MUPT,ULTG, JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 13,08:52:00,JAN, 13,16:51:00,479,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
8,ULTG TANGERANG SELATAN,GI 150KV LEGOK,KAPASITOR SC#2 150kV,Oke,KAPASITOR 150kV,150 kV,HAR OFF GI 150KV LEGOK BAY KAPASITOR #2,MUPT,ULTG, JAN, 14,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Cuaca,Tidak jadi dilaksanakan karena cuaca tidak mendukung,,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
9,ULTG GANDUL,GI 150KV DEPOK,TRF#4 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #4 GI 150KV DEPOK,MUPT,ULTG, JAN, 14,8:00:00,16:00:00,,TERLAKSANA,,,"Terkendala cuaca hujan
Personil : 7 Orang",JAN, 14,08:11:00,JAN, 14,18:38:00,627,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
10,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,BUSBAR #1 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH BAY BUSBAR #A,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
11,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,KOPEL BUS 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH 150 KV BAY KOPEL,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
12,ULTG PETUKANGAN,GIS 150KV PONDOK INDAH,BUSBAR #2 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV PONDOK INDAH BAY BUSBAR #B,MUPT,ULTG, JAN,17,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
13,ULTG PETUKANGAN,GIS 150KV BINTARO BARU,BUSBAR #1 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV BINTARO BARU BAY BUSBAR #A,MUPT,ULTG, JAN,18,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
14,ULTG PETUKANGAN,GIS 150KV BINTARO BARU,KOPEL BUS 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV BINTARO BARU BAY  BAY KOPEL,MUPT,ULTG, JAN,18,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
15,ULTG PETUKANGAN,GIS 150KV BINTARO BARU,BUSBAR #2 150kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF GIS 150KV BINTARO BARU BAY BUSBAR #B,MUPT,ULTG, JAN,18,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
16,ULTG GANDUL,GI 150KV GANDUL,KAPASITOR ,Oke,KAPASITOR 150kV,150 kV,HAR OFF GI 150KV GANDUL BAY KAPASITOR,MUPT,ULTG, JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 20,08:48:00,JAN, 20,12:51:00,243,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
17,ULTG PETUKANGAN,GIS 150KV ANTASARI,TRF#1 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #1 GIS 150KV ANTASARI,MUPT,ULTG, JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 20,09:12:00,JAN, 20,15:51:00,399,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
18,ULTG TANGERANG SELATAN,GI 150KV BSD,TRF#2 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #2 GI 150KV BSD,MUPT,ULTG, JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 20,09:17:00,JAN, 20,16:31:00,434,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
19,ULTG GANDUL,GITET 500KV GANDUL,7B2 DIAMETER#2 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV GANDUL BAY 7B2,MUPT,ULTG, JAN, 21,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Cuaca,"ABK, Terkait cuaca akan ngaruh ke hasil pengujian CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ULTG GANDUL,GITET 500KV GANDUL,7AB6 DIAMETER #6 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV GANDUL BAY 7AB6,MUPT,ULTG, JAN,24,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
21,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,PHT 150kV GANDUL#1,Oke,PENGHANTAR 150kV,150 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY GANDUL#1,MUPT,ULTG, JAN, 26,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 26,08:38:00,JAN, 26,14:00:00,322,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROB
22,ULTG GANDUL,GITET 500KV DEPOK,7B2 DIAMETER#2 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV DEPOK BAY 7B2,MUPT,ULTG, JAN, 27,7:00:00,15:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 27,07:28:00,JAN, 27,11:33:00,245,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
23,ULTG PETUKANGAN,GIS 150KV ANTASARI,TRF#2 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #2 GIS 150KV ANTASARI,MUPT,ULTG, JAN, 27,8:00:00,16:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 27,09:29:00,JAN, 27,17:04:00,455,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
24,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,TRF#1 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,FIRST YEARS INPECTION HAR OFF GIS 150KV SAWANGAN BAY TRAFO #1,MUPT,ULTG, JAN, 27,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,ABK karena kopel 20kV belum siap,,,,,,,,,,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROB
25,ULTG GANDUL,GITET 500KV DEPOK,7A3 DIAMETER#3 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV DEPOK BAY 7A3,MUPT,ULTG, JAN,28,8:00:00,16:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
26,ULTG GANDUL,GITET 500KV DEPOK,7AB3 DIAMETER#3 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV DEPOK BAY 7AB3,MUPT,ULTG, JAN, 28,7:00:00,15:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 28,07:07:00,JAN, 28,11:28:00,261,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
27,ULTG GANDUL,GITET 500KV DEPOK,7B1 DIAMETER #1 500kV,Oke,DIAMETER 500kV,500 kV,HAR OFF GITET 500KV DEPOK BAY 7B1,MUPT,ULTG, JAN, 29,7:00:00,15:00:00,,TERLAKSANA,,,Personil : 7 Orang,JAN, 29,08:22:00,JAN, 29,11:18:00,176,ADA,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
28,ULTG PETUKANGAN,GIS 150KV BINTARO,TRF#2 150/20kV,Oke,TRAFO 150/20kV,150/20 kV,HAR OFF BAY TRAFO #2 GIS 150KV BINTARO,MUPT,ULTG, FEB, 1,7:00:00,15:00:00,,JADWAL ULANG,UNCONTROLLABLE,UnCon. Lainnya,"ABK, EFISIENSI 2028",,,,,,,,,,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ULTG TANGERANG SELATAN,GITET 500KV LENGKONG,PHT 500kV GANDUL #1,Oke,PENGHANTAR 500kV,500 kV,HAR OFF GITET 500KV LENGKONG BAY GANDUL #1,MUPT,ULTG, FEB, 3,7:00:00,15:00:00,,TERLAKSANA,,,,FEB, 3,07:37:00,FEB, 3,14:45:00,428,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
30,ULTG GANDUL,GITET 500KV GANDUL,PHT 500kV LENGKONG#1,Oke,PENGHANTAR 500kV,500 kV,HAR OFF GITET 500KV GANDUL BAY LENGKONG #1,MUPT,ULTG, FEB, 3,7:00:00,15:00:00,,TERLAKSANA,,,Personil : 7 Orang,FEB, 3,07:38:00,FEB, 3,14:45:00,427,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROT
