5,ULTG CILEGON,GI 150KV ANYER,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF GI ANYER BUSBAR A 150kV,M.UPT,ULTG,JAN, 12,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 12,10:53:00,JAN, 12,17:05:00,372,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ULTG CILEGON,GI 150KV ANYER,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF GI ANYER BUSBAR B 150kV,M.UPT,ULTG,JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 13,11:15:00,JAN, 13,14:58:00,223,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ULTG RANGKAS,GI 150KV MENES BARU,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI MNSRU TRF#1 150/20kV 60MVA,M.UPT,ULTG,JAN, 14,8:00:00,16:00:00,,JADWAL ULANG,,,akan dikerjakan bulan februari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ULTG CILEGON,GI 150KV ASAHIMAS,TRF K#2 150/20kV,,PENGHANTAR 150kV,150 kV,HAR OFF GI ASAHI TRF K#2 150/21kV,M.UPT,ULTG,JAN, 15,8:00:00,16:00:00,,JADWAL ULANG,,,menunggu konfirmasi padam dari KTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ULTG RANGKAS,GI 150KV SAKETI,PHT 150kV MALINGPING#1,,PENGHANTAR 150kV,150 kV,HAROFF GI SKETI PHT MLIMPING#1 150kV,M.UPT,ULTG,JAN, 19,8:00:00,16:00:00,,JADWAL ULANG,,,"terkait subsistem , tidak bisa padam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ULTG SURALAYA,GIS 150KV MCCI (MITSUBISHI),BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF GIS MCCI BUSBAR A 150kV,M.UPT,ULTG,JAN, 19,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 19,8:45:00,JAN, 19,13:39:00,294,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ULTG SURALAYA,GIS 150KV MCCI (MITSUBISHI),KOPEL BUS 150kV,,KOPEL 150kV,150 kV,HAR OFF GIS MCCI KOPEL BUS 150kV,M.UPT,ULTG,JAN, 19,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 19,8:45:00,JAN, 19,13:39:00,294,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ULTG CILEGON,GI 150KV POLYPRIMA,TRF K#1 150/11.5kV,,PENGHANTAR 150kV,150 kV,HAR OFF GI POLYPRIMA TRF K#1 150/20kV,M.UPT,ULTG,JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 20,8:00:00,JAN, 19,16:42:00,522,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ULTG RANGKAS,GI 150KV SAKETI,PHT 15OkV MALINGPING#2,,PENGHANTAR 150kV,150 kV,HAR OFF GI SAKETI BAY MLMPNG #2,M.UPT,ULTG,JAN, 20,8:00:00,16:00:00,,JADWAL ULANG,,,"terkait subsistem , tidak bisa padam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ULTG SURALAYA,GIS 150KV MCCI (MITSUBISHI),BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF GIS MCCI BUSBAR B 150kV,M.UPT,ULTG,JAN, 21,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 21,8:47:00,JAN, 21,13:49:00,302,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ULTG CILEGON,GI 150KV CHANDRA ASRI,TRF K#1 150/20kV,,PENGHANTAR 150kV,150 kV,Har Off bay CAP 2 GI Chandra asri (Trafo K#1),M.UPT,ULTG,JAN, 24,8:00:00,16:00:00,,TERLAKSANA,,,berbarengan padam KTT,JAN, 24,8:00:00,JAN, 24,15:00:00,420,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ULTG CILEGON,GI 150KV CHANDRA ASRI,TRF K#2 150/20kV,,PENGHANTAR 150kV,150 kV,Har Off bay CAP 1 GI Chandra asri (Trafo K#2),M.UPT,ULTG,JAN, 25,8:00:00,16:00:00,,TERLAKSANA,,,berbarengan padam KTT,JAN, 25,8:00:00,JAN, 25,15:00:00,420,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ULTG SURALAYA,GIS 150KV SALIRA INDAH,TRF K#1 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GIS SLRIN TRF K#1 150/20kV,M.UPT,ULTG,JAN, 26,8:00:00,16:00:00,,JADWAL ULANG,,,KTT tidak siap padam (rencana September),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ULTG RANGKAS,GI 150KV KOPO,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI KOPO TRF#1 150/20kV 60MVA,M.UPT,ULTG,JAN, 26,8:00:00,16:00:00,,JADWAL ULANG,,,permintaan distribusi (jadwal menunggu info distribusi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ULTG SURALAYA,GISTET 500KV LBE,PHT 500kV JAWA 7 #1,,PENGHANTAR 500kV,500 kV,HAROFF GSTET LBE PHT 500kV JAWA7#1,M.UPT,ULTG,JAN, 28,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 28,7:47:00,JAN, 28,16:27:00,520,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ULTG CILEGON,GI 150KV CILEGON LAMA,TRF#2 150/22kV,,TRAFO 150/20kV,150 kV,HAR OFF GI Cilegon Lama TRF #2,M.UPT,ULTG,FEB, 2,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 2,8:59:00,FEB, 2,22:16:00,797,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ULTG SURALAYA,GITET 500KV SURALAYA (HYBRID),7A2 DIAMETER#2 500kV,,DIAMETER 500kV,500 kV,HAR OFF GITET SRLYA 7A2 DIA#2 500kV,M.UPT,ULTG,FEB, 3,8:00:00,16:00:00,,JADWAL ULANG,,,Berbarengan dengan KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ULTG SURALAYA,GITET 500KV SURALAYA (HYBRID),7A7 DIAMETER#7 500kV,,DIAMETER 500kV,500 kV,HAR OFF GITET SRLYA 7A7 DIA#7 500kV,M.UPT,ULTG,FEB, 3,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 3,8:07:00,FEB, 3,16:21:00,494,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
