5,ULTG PULOGADUNG,GIS 150KV PEGANGSAAN,KOPEL BUS 150kV,,KOPEL 150kV,150 kV,HAR OFF BAY KOPEL GIS PEGANGSAAN,M. UPT,ULTG,JAN, 10,08:00,16:00,480,TERLAKSANA,,,TAMBAHAN HAR OFF DILUAR ROT 2026,JAN, 10,08:21,JAN, 10,13:49,300,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
6,ULTG PULOGADUNG,GIS 150KV PEGANGSAAN,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #1 GIS PEGANGSAAN,M. UPT,ULTG,JAN, 10,08:00,16:00,480,TERLAKSANA,,,TAMBAHAN HAR OFF DILUAR ROT 2026,JAN, 10,08:21,JAN, 10,13:49,300,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
7,ULTG PULOGADUNG,GIS 150KV PEGANGSAAN,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #2 GIS PEGANGSAAN,M. UPT,ULTG,JAN, 10,08:00,16:00,480,TERLAKSANA,,,TAMBAHAN HAR OFF DILUAR ROT 2026,JAN, 10,08:21,JAN, 10,13:49,300,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
8,ULTG ANCOL,GI 150KV PLUMPANG,BUSBAR #3 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #3 (40kA) GI PLUMPANG,M. UPT,ULTG,JAN, 11,08:00,16:00,480,TERLAKSANA,,,"HUTANG ROT 2025
DIkarenakan Surat Edaran PLN UIT JBB Untuk Sisa Har Rutin di 2025 DIjadwalkan Ulang ke 2026 Terkait Tindak Lanjut Gangguan K3 di GI Modern",JAN, 11,10:28,JAN, 11,18:52,480,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
9,ULTG ANCOL,GIS 150KV NEW PLUMPANG,INTERCONNECTOR#1,,PENGHANTAR 150kV,150 kV,HAR OFF INTERCONNECTOR #1 GIS PLUMPANG BARU,M. UPT,ULTG,JAN, 11,08:00,16:00,480,TERLAKSANA,,,"HUTANG ROT 2025
DIkarenakan Surat Edaran PLN UIT JBB Untuk Sisa Har Rutin di 2025 DIjadwalkan Ulang ke 2026 Terkait Tindak Lanjut Gangguan K3 di GI Modern",JAN, 11,10:28,JAN, 11,18:52,480,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
10,ULTG ANCOL,GIS 150KV GUNUNG SAHARI,KOPEL BUS 150kV,,KOPEL 150kV,150 kV,HAR OFF BAY KOPEL GIS GUNUNG SAHARI,M. UPT,ULTG,JAN, 13,08:00,16:00,480,TERLAKSANA,,,,JAN, 13,09:36,JAN, 13,14:13,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
11,ULTG ANCOL,GIS 150KV GUNUNG SAHARI,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #1 GIS GUNUNG SAHARI,M. UPT,ULTG,JAN, 13,08:00,12:00,240,TERLAKSANA,,,,JAN, 13,09:37,JAN, 13,14:13,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
12,ULTG ANCOL,GIS 150KV GUNUNG SAHARI,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #2 GIS GUNUNG SAHARI,M. UPT,ULTG,JAN, 13,13:00,16:00,180,TERLAKSANA,,,,JAN, 13,09:38,JAN, 13,14:13,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
13,ULTG HARAPAN INDAH,GIS 150KV HARAPAN INDAH,KOPEL BUS 150kV,,KOPEL 150kV,150 kV,HAR OFF BAY KOPEL GIS HARAPAN INDAH,M. UPT,ULTG,JAN, 13,08:00,16:00,480,TERLAKSANA,,,,JAN, 13,08:45,JAN, 13,13:08,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
14,ULTG HARAPAN INDAH,GIS 150KV HARAPAN INDAH,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #1 GIS HARAPAN INDAH,M. UPT,ULTG,JAN, 13,08:00,16:00,480,TERLAKSANA,,,,JAN, 13,08:45,JAN, 13,13:08,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
15,ULTG HARAPAN INDAH,GIS 150KV HARAPAN INDAH,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #2 GIS HARAPAN INDAH,M. UPT,ULTG,JAN, 13,08:00,16:00,480,TERLAKSANA,,,Pekerjaan Tanpa Padam (05),JAN, 14,08:00,JAN, 14,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
16,ULTG PULOGADUNG,GIS 150KV NEW PULOGADUNG,PHT 150kV PEGANGSAAN #2,,PENGHANTAR 150kV,150 kV,HAR OFF BAY PEGANGSAAN #2 GIS PULOGADUNG BARU,M. UPT,ULTG,JAN, 14,08:00,16:00,480,TERLAKSANA,,,,JAN, 15,08:00,JAN, 15,16:03,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
17,ULTG ANCOL,GIS 150KV PRIOK TIMUR,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #1 GIS PRIOK TIMUR,M. UPT,ULTG,JAN, 14,08:00,16:00,480,TERLAKSANA,,,Pekerjaan Tanpa Padam (05),JAN, 14,08:00,JAN, 14,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
18,ULTG HARAPAN INDAH,GITET 500KV BEKASI,TRAFO PS #1,,TRAFO 150/20kV,150 kV,HAR OFF TRAFO PS #1 GITET BEKASI,M. UPT,ULTG,JAN, 14,08:00,16:00,480,TERLAKSANA,,,,JAN, 14,08:34,JAN, 14,14:53,360,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
19,ULTG ANCOL,GIS 150KV PRIOK TIMUR,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #2 GIS PRIOK TIMUR,M. UPT,ULTG,JAN, 15,08:00,16:00,480,TERLAKSANA,,,Pekerjaan Tanpa Padam (05),JAN, 15,08:00,JAN, 15,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
20,ULTG HARAPAN INDAH,GITET 500KV BEKASI,TRAFO PS #2,,TRAFO 150/20kV,150 kV,HAR OFF TRAFO PS #2 GITET BEKASI,M. UPT,ULTG,JAN, 15,08:00,16:00,480,TERLAKSANA,,,,JAN, 15,08:42,JAN, 15,13:40,240,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1pvz-YRyXsrPgxext2N0_ffJQ_-kFgfUq/view?usp=drive_link,,2026
21,ULTG HARAPAN INDAH,GIS 150KV KANDANG SAPI,KOPEL BUS#1 150kV,,KOPEL 150kV,150 kV,HAR OFF KOPEL #1 GIS KANDANG SAPI,M. UPT,ULTG,JAN, 20,08:00,16:00,480,TERLAKSANA,,,,JAN, 21,08:00,JAN, 21,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
22,ULTG HARAPAN INDAH,GIS 150KV KANDANG SAPI,BUSBAR #1 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #1 (1A) GIS KANDANG SAPI,M. UPT,ULTG,JAN, 20,08:00,16:00,480,TERLAKSANA,,,Pekerjaan Tanpa Padam (05),JAN, 22,08:00,JAN, 22,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
