4,ULTG BALARAJA,GI 150KV MILENIUM,BUSBAR #1 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR A, GI 150KV MILENIUM",MUPT,ULTG,JAN, 15,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 20 JAN, kendala hujan",JAN, 15,8:49:00,JAN, 15,18:46:00,597,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ULTG BALARAJA,GI 150KV MILENIUM,KOPEL BUS 150kV,OKE,KOPEL 150kV,150 kV,"HAR OFF KOPEL, GI 150KV MILENIUM",MUPT,ULTG,JAN, 15,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 20 JAN, kendala hujan",JAN, 15,8:49:00,JAN, 15,18:46:00,597,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ULTG CIKUPA,GI 150KV SEPATAN,TRF#2 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #2, GI 150KV SEPATAN",MUPT,ULTG,JAN, 15,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 12 APR, BERSAMAAN PEKERJAAN KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#2, GI 150KV SEPATAN",JAN, 15,8:20:00,JAN, 15,17:19:00,539,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ULTG CIKUPA,GI 150KV PASAR KEMIS BARU,TRF#1 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #1, GI 150KV PASAR KEMIS BARU",MUPT,ULTG,JAN, 19,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 3 NOV, BERSAMAAN PEKERJAAN KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#1, GI 150KV PASAR KEMIS BARU",JAN, 19,9:03:00,JAN, 19,16:42:00,459,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ULTG CIKUPA,GI 150KV PASAR KEMIS BARU,TRF#2 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #2, GI 150KV PASAR KEMIS BARU",MUPT,ULTG,JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 8 FEB, BERSAMAAN PEKERJAAN KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#2, GI 150KV PASAR KEMIS BARU",JAN, 20,8:36:00,JAN, 20,14:52:00,376,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ULTG SERANG,GI 150KV BAROS,BAY SERANG #1,OKE,PENGHANTAR 150kV,150 kV,"FIRST YEAR INSPECTION BAY SERANG #1, GI 150KV BAROS",MUPT,ULTG,JAN, 20,8:00:00,16:00:00,,TERLAKSANA,,,,JAN, 20,9:11:00,JAN, 20,16:49:00,458,ADA,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ULTG BALARAJA,GI 150KV MILENIUM,BUSBAR #2 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR B, GI 150KV MILENIUM",MUPT,ULTG,JAN, 21,8:00:00,16:00:00,,TERLAKSANA,,,ROT 21 JAN,JAN, 21,9:37:00,JAN, 21,16:33:00,416,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ULTG SERANG,GISTET 500KV JAWA 7,7AB3 DIAMETER #3 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7AB3, GISTET 500KV JAWA 7",MUPT,ULTG,JAN, 21,8:00:00,16:00:00,,TERLAKSANA,,,ROT 27 JAN,JAN, 21,12:01:00,JAN, 21,14:57:00,176,ADA,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ULTG SERANG,GISTET 500KV JAWA 7,7AB4 DIAMETER #4 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7AB4, GISTET 500KV JAWA 7",MUPT,ULTG,JAN, 25,8:00:00,16:00:00,,TERLAKSANA,,,ROT 3 FEB,JAN, 25,13:05:00,JAN, 25,16:20:00,195,ADA,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ULTG SERANG,GISTET 500KV JAWA 7,7A4 DIAMETER #4 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7A4, GISTET 500KV JAWA 7",MUPT,ULTG,JAN, 25,8:00:00,16:00:00,,TERLAKSANA,,,ROT 4 FEB,JAN, 25,8:33:00,JAN, 25,11:44:00,191,ADA,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ULTG BALARAJA,GI 150KV BALARAJA,TRF#4 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #4, GI 150KV BALARAJA",MUPT,ULTG,JAN, 26,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 10 OKT, Bersamaan pekerjaan Resetting relay REF Bay Trafo 4 GI Balaraja",JAN, 26,8:30:00,JAN, 26,18:47:00,617,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ULTG BALARAJA,GIS 150KV SPINMILL,KOPEL BUS 150kV,OKE,KOPEL 150kV,150 kV,"HAR OFF BAY KOPEL, GIS 150KV SPINMILL",MUPT,ULTG,JAN, 27,8:00:00,16:00:00,,TERLAKSANA,,,ROT 29 APR,JAN, 27,8:29:00,JAN, 27,15:16:00,407,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ULTG BALARAJA,GIS 150KV SPINMILL,BUSBAR #2 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR B, GIS 150KV SPINMILL",MUPT,ULTG,JAN, 27,8:00:00,16:00:00,,TERLAKSANA,,,ROT 29 APR,JAN, 27,8:29:00,JAN, 27,15:16:00,407,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ULTG BALARAJA,GIS 150KV SPINMILL,BUSBAR #1 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR A, GIS 150KV SPINMILL",MUPT,ULTG,JAN, 28,8:00:00,16:00:00,,TERLAKSANA,,,ROT 30 APR,JAN, 28,8:20:00,JAN, 28,11:39:00,199,ADA,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ULTG CIKUPA,GIS 150KV SUVARNA SUTERA,TRF#2 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #2, GIS 150KV SUVARNA SUTERA",MUPT,ULTG,JAN, 29,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 29 JAN, Bersamaan dengan pekerjaan UP2D",JAN, 29,9:09:00,JAN, 29,16:45:00,456,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ULTG SERANG,GISTET 500KV JAWA 7,7B4 DIAMETER #4 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7B4, GISTET 500KV JAWA 7",MUPT,ULTG,JAN, 29,8:00:00,16:00:00,,TERLAKSANA,,,ROT 5 FEB,JAN, 29,8:18:00,JAN, 29,11:46:00,208,ADA,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ULTG CIKUPA,GI 150KV PASAR KEMIS,TRF#4 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #4, GI 150KV PASAR KEMIS",MUPT,ULTG,FEB, 1,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 24 JAN, Bersamaan dengan pekerjaan KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#4, GI 150KV PASAR KEMIS",FEB, 1,08:25:00,FEB, 1,17:51:00,566,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ULTG CIKUPA,GI 150KV TIGARAKSA,BUSBAR #1 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR A, GI 150KV TIGARAKSA",MUPT,ULTG,FEB, 3,8:00:00,16:00:00,,TERLAKSANA,,,ROT 3 FEB,FEB, 3,09:30:00,FEB, 3,14:50:00,320,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ULTG CIKUPA,GI 150KV TIGARAKSA,KOPEL BUS 150kV,OKE,KOPEL 150kV,150 kV,"HAR OFF BAY KOPEL, GI 150KV TIGARAKSA",MUPT,ULTG,FEB, 3,8:00:00,16:00:00,,TERLAKSANA,,,ROT 3 FEB,FEB, 3,09:30:00,FEB, 3,14:50:00,320,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ULTG CIKUPA,GI 150KV TIGARAKSA,BUSBAR #2 150kV,OKE,BUSBAR 150kV,150 kV,"HAR OFF BUSBAR B, GI 150KV TIGARAKSA",MUPT,ULTG,FEB, 4,8:00:00,16:00:00,,TERLAKSANA,,,ROT 4 FEB,FEB, 4,10:30:00,FEB, 4,14:08:00,218,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ULTG BALARAJA,GI 150KV BALARAJA,TRF#1 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #1, GI 150KV BALARAJA",MUPT,ULTG,FEB, 5,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 4 JUN, Bersamaan dengan pekerjaan Perkuatan isolasi sekunder Trafo 1 GI Balaraja",FEB, 5,8:18:00,FEB, 5,18:59:00,641,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ULTG CIKUPA,GI 150KV SEPATAN,PHT 150kV SEPATAN BARU #2,OKE,PENGHANTAR 150kV,150 kV,"HAR OFF BAY SEPATAN BARU #2, GI 150KV SEPATAN",MUPT,ULTG,FEB, 5,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 21 MEI, Bay sudah padam (Pending UIP)",FEB, 5,8:00:00,FEB, 5,16:00:00,480,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ULTG BALARAJA,GI 150KV CIKANDE,TRF#3 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #3, GI 150KV CIKANDE",MUPT,ULTG,FEB, 7,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 24 JAN, sempat hujan",FEB, 7,8:33:00,FEB, 7,17:06:00,513,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ULTG SERANG,GI 150KV MODERN,TRF#2 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #2, GI 150KV MODERN",MUPT,ULTG,FEB, 7,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 21 FEB, BERSAMAAN DENGAN PEKERJAAN UP2D, sempat hujan",FEB, 7,9:10:00,FEB, 7,20:49:00,699,ADA,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ULTG SERANG,GISTET 500KV JAWA 7,7A3 DIAMETER #3 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7A3, GISTET 500KV JAWA 7",MUPT,ULTG,FEB, 10,8:00:00,16:00:00,,TERLAKSANA,,,ROT 22 JAN,FEB, 10,8:28:00,FEB, 10,12:46:00,258,ADA,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ULTG BALARAJA,GIS 150KV SPINMILL,TRF#1 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #1, GIS 150KV SPINMILL",MUPT,ULTG,FEB, 11,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 11 JAN, sempat hujan",FEB, 11,8:57:00,FEB, 11,17:56:00,539,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ULTG SERANG,GI 150KV SERANG,TRF#2 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #2, GI 150KV SERANG",MUPT,ULTG,FEB, 11,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 11 FEB, BERSAMAAN DENGAN PEKERJAAN MIGRASI DSS GI SERANG BAY TRAFO #2",FEB, 11,8:00:00,FEB, 11,16:00:00,480,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ULTG CIKUPA,GI 150KV SEPATAN,PHT 150kV SEPATAN BARU #1,OKE,PENGHANTAR 150kV,150 kV,"HAR OFF BAY SEPATAN BARU #1, GI 150KV SEPATAN",MUPT,ULTG,FEB, 12,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 16 apr, Bay sudah padam (Pending UIP)",FEB, 12,8:00:00,FEB, 12,16:00:00,480,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ULTG BALARAJA,GI 150KV NEW BALARAJA,TRF#1 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #1, GI 150KV NEW BALARAJA",MUPT,ULTG,FEB, 14,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 17 OKT, BERSAMAAN DENGAN PEKERJAAN HAR UP2D DAN Pasang kopel 20kv Trafo #1, GI New Balaraja",FEB, 14,8:00:00,FEB, 14,16:00:00,480,ADA,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ULTG CIKUPA,GIS 150KV SUVARNA SUTERA,TRF#1 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,GIS 150KV SUVARNA SUTERA,MUPT,ULTG,FEB, 14,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 14 FEB, BERSAMAAN DENGAN PEKERJAAN HAR UP2D",FEB, 14,9:38:00,FEB, 14,16:57:00,439,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
