 ,DURIKOSAMBI,DURIKOSAMBI,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,ULTG,LOKASI,BAY,VALIDASI,JENIS BAY,TEG ( kV ),URAIAN PEKERJAAN,Penanggung Jawab,Pelaksana,RENCANA,,,,,STATUS,PENYEBAB JADWAL ULANG,,"KETERANGAN (justifikasi ABK, Durasi lama, Pekerjaan Dimulai tidak on time)


",REALISASI,,,,,,,LAPTEK,,"JUMLAH PERSONIL PELAKSANA HAR
(HAR GI DAN HAR PROM)
 TERMASUK PENGAWAS
TIDAK TERMASUK TAD",JMLH HELPER,ROH/ROB/ROT,PEMELIHARAAN BAY  IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY TRAFO,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 500 KV,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DOUBLE BUSBAR),,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DIAMETER),,,,,,,,PEMELIHARAAN BAY KAPASITOR,,,,,,,PEMELIHARAAN PMT DIAMETER 500,,,,PEMELIHARAAN PMT DIAMETER 150,,,,PEMELIHARAAN BAY  REAKTOR 500,,,PEMELIHARAAN BAY  REAKTOR 150,,,,,,PEMELIHARAAN BAY KOPEL,,,,,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DOUBLE BUSBAR),,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DIAMETER),,,,PEMELIHARAAN TRAFO (KONDISIONAL),,OPTIMASI (P1 / P2),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMT 150 kV,CT 500,CT 150,PMS Rel 1 150,PMS Rel 2 150,PMS Line 500,PMS Line 150,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 500 kV,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,CT REF 500,CT REF 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,PMT 20 kV,CT 150,CT 20,PMS Rel 1,PMS Rel 2,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,NGR,CT REF 20,CT  SBEF,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS Line,CT 500,PT/CVT,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,PMS Rel 1,PMS Rel 2,PT/CVT,LA,PROTEKSI,PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,LA,CT 150,PROTEKSI,"PMS PENGAPIT 
A / B (TIDAK BERTEGANGAN)","PMS PENGAPIT 
AB ( TIDAK BERTEGANGAN)",PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,LA,PT/CVT 150,KAPASITOR BANK,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 500 kV,CT 500,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PMT 150,CT 150,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS 150 kV,PMT 150 kV,CT 150,PT/CVT 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,PMS YANG TERHUBUNG KE BUSBAR (TIDAK BERTEGANGAN),% Penyelesaian Pekerjaan Per Lokasi GI,Penggantian MInyak  OLTC Trafo,Modifikasi atau Penggantian Microswitch,,,,,
,,,,,,,,,,BULAN,TANGGAL,DARI JAM,SAMPAI JAM,"LAMA PEKERJAAN
 (MENIT)",,CONTROLLABLE/UNCONTROLLABLE,ALASAN,,MULAI PEKERJAAN,,,SELESAI PEKERJAAN,,,"LAMA PEKERJAAN
 (MENIT)",,LAPTEK HARPRO,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalisasi Penulisan Tanggal,LAPTEK PROTEKSI,VALIDASI KINERJA 
,,,,,,,,,,,,,,,,,,,BULAN,TANGGAL,JAM,BULAN,TANGGAL,JAM,,,,,,,8,3,3,5,5,5,5,0,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,12,87,8,8,3,1,5,5,0,3,2,2,3,3,3,2,2,2,2,0,2,2,2,2,1,1,9,73,5,3,3,3,8,22,8,3,5,5,3,3,5,5,37,3,3,3,7,5,5,5,31,8,3,3,3,3,7,27,8,3,2,13,8,3,2,13,4,6,10,4,8,3,3,6,24,5,8,3,3,4,22,3,2,5,3,2,5,10,1,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ULTG ANGKE,GI 150KV MUARAKARANG BARU,5A4 DIAMETER#4 150kV,OKE,DIAMETER 150kV,150 kV,Pemeliharaan Rutin 2 Tahunan,M.UPT,ULTG, JAN, 13,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi Sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ULTG ANGKE,GI 150KV MUARAKARANG BARU,5AB4 DIAMETER#4 150kV,OKE,DIAMETER 150kV,150 kV,Pemeliharaan Rutin 2 Tahunan,M.UPT,ULTG, JAN, 13,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi Sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ULTG DURIKOSAMBI,GI 150KV CENGKARENG BARU,BUSBAR #A 150 kV,TIDAK OKE,BUSBAR 150kV,150 kV,Pemeliharaan Rutin 2 Tahunan,M.UPT,ULTG, JAN, 13,8:00:00,16:00:00,480,TERLAKSANA,,,Menunggu manuver padam, JAN, 13,9:58:00, JAN, 13,14:02:00,244,ADA,ADA,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ULTG DURIKOSAMBI,GI 150KV CENGKARENG BARU,KOPEL BUS 150 kV,OKE,KOPEL 150kV,150 kV,Pemeliharaan Rutin 2 Tahunan,M.UPT,ULTG, JAN, 13,8:00:00,16:00:00,480,TERLAKSANA,,,Menunggu manuver padam, JAN, 13,9:58:00, JAN, 13,14:02:00,244,ADA,ADA,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
