No.,UPT,ULTG,Lokasi,Nama Bay,Uraian Pekerjaan,Peralatan Padam,Padam,Sifat,PN Jawab,Awal HARI,Awal TGL,Awal BULAN,Awal TAHUN,Awal JAM,Akhir JAM,PERALATAN
,GANDUL,ULTG TANGERANG SELATAN,GI 150KV LENGKONG,Busbar #B,Padam emergency Busbar B Mobilisasi Trafo 30 MVA di GI Lengkong Lama,Busbar #B,150KV,3,MUPT,RABU,22,JUL,2026,11:08,,
,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,KAPASITOR 150KV,Unbalance Alarm pada Bay Kapasitor 2 GI 150KV Serpong ,KAPASITOR 150KV,150KV,3,MUPT,JUM'AT,24,JUL,2026,10:03,,
,GANDUL,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,PHT 150kV Gandul #2,Top Up GAS SF6 Bay Line Gandul #2,PHT 150kV Gandul #2,150KV,3,MUPT,SENIN,27,JUL,2026,09:27,,
,CIKUPA,ULTG CIKUPA,GIS 150KV SUVARNA SUTERA,BUSBAR A DAN BAY CIKUPA #1,Pekerjaan Perbaikan Kebocoran Gas SF6 Kompartemen DS Bus A,BUSBAR A DAN BAY CIKUPA #1,150KV,3,MUPT,KAMIS,6,AGU,2026,22:15,,
,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,PHT 150KV Bintaro#2,Adanya Anomali pada Bay Bintaro#2 GI 150KV Serpong,PHT 150KV Bintaro#2,150KV,3,MUPT,KAMIS,13,AGU,2026,22:02,18:55,
,GANDUL,ULTG GANDUL,GITET 500KV GANDUL,INC IBT#1 GI Gandul,Penggantian Manometer PMT 150KV Inc IBT#1 GI Gandul,INC IBT#1 GI Gandul,150KV,3,MUPT,JUM'AT,14,AGU,2026,23:40,02:39,
,GANDUL,ULTG GANDUL,GITET 150KV DEPOK,KAPASITOR 150KV,Investigasi bunyi denging dan pengujian bay kapasitor di GI 150KV DEPOK,KAPASITOR 150KV,150KV,3,MUPT,JUM'AT,19,AGU,2026,09:48,16:45,
,CIKUPA,ULTG CIKUPA,TRS 150KV SEPATAN-TELUKNAGA,TRS 150KV SEPATAN-TELUKNAGA #1,Pekerjaan Pengambilan layang-layang SUTT Sepatan-Teluk Naga#1,TRS 150KV SEPATAN-TELUKNAGA #1,150KV,3,MUPT,RABU,19,AGU,2026,19:48,,
,GANDUL,ULTG TANGERANG SELATAN,GI 150KV LEGOK,KAPASITOR 150KV,Investigasi Kapasitor 2 Unbalance,KAPASITOR 150KV,150KV,3,MUPT,KAMIS,20,AGU,2026,10:33,16:52,
,GANDUL,ULTG TANGERANG SELATAN,GI 150KV LEGOK,KAPASITOR 150KV,Uji performa test after unbalanceing bay Kapasitor 2,KAPASITOR 150KV,150KV,3,MUPT,KAMIS,24,AGU,2026,10:33,16:10,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV CENGKARENG,Trafo #4,Commisioning RC Inc Trafo #4,Trafo #4,150kV,3,MUP2D,SELASA,30,JAN,2026,13:31,22:42,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV DURIKOSAMBI,Tanpa padam,Perbaikan hotspot CF DS Bus A Bay Kopel #1,Tanpa padam,150kV,5,MUPT,SENIN,18,MAR,2026,08:00,16:00,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV TANGERANG,JATAKE BARU#2,Investigasi Spring PMT Bay Jatake Baru #2 Fasa S,JATAKE BARU#2,150kV,3,MUPT,SENIN,22,JUL,2026,21:28,00:14,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV TANGERANG,Trafo #4,Anomali Relay Differential Trafo #4,Trafo #4,150kV,3,MUPT,KAMIS,25,APR,2026,22:31,03:33,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GIS 150KV ALAM SUTERA,Tanpa padam,Investigasi VT Fail Bay Ciledug #2,Tanpa padam,150kV,5,MUPT,JUMAT,23,FEB,2026,08:00,16:00,
,DURIKOSAMBI,ULTG DURIKOSAMBI,GIS 150KV METLAND,Trafo #1,Investigasi Anomali Pembacaan Beban kWh Trafo #1,Trafo #1,150kV,3,MUPT,SELASA,5,MAR,2026,18:04,20:38,
,GANDUL,ULTG GANDUL,GIS 150KV DEPOK BARU,CIMANGGIS #1,Perbaikan Klem CT Dan Sealing End Bay Cimanggis 1,CIMANGGIS#1,150KV,3,MUPT,KAMIS,3,SEP,2026,21:21,00:45,
