,CAWANG,CAWANG,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,28,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
,ULTG CAWANG,GI 150KV CIBUBUR,PHT 150kV CIBINONG #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 29,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 29,10:04:00,JAN, 29,17:21:00,437,ADA,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 31,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Bersamaan dengan Pekerjaan Emergency,Bersamaan dengan investigasi tap setting TRF #3 GI Jatirangon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 31,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Bersamaan dengan Pekerjaan Emergency,Bersamaan dengan investigasi tap setting TRF #3 GI Jatirangon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 31,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Bersamaan dengan Pekerjaan Emergency,Bersamaan dengan investigasi tap setting TRF #3 GI Jatirangon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV DURENTIGA,PHT 150kV ANTASARI #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 13,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 13,8:39:00,JAN, 13,16:23:00,464,ADA,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#3 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 25,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 25,8:22:00,JAN, 25,15:54:00,452,ADA,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV CSW,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 29,8:00:00,16:00:00,480,TERLAKSANA,,,Hartin tanpa padam,JAN, 29,,JAN, 29,,,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV CSW,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 29,8:00:00,16:00:00,480,TERLAKSANA,,,Hartin tanpa padam,JAN, 29,,JAN, 29,,,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,PHT 150kV TAMAN RASUNA,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 31,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV TAMAN RASUNA,PHT 150kV ABADI GUNA PAPAN #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 31,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV DUKUHATAS,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 10,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 10,8:22:00,JAN, 10,11:11:00,169,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV DUKUHATAS,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 10,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 10,8:22:00,JAN, 10,11:11:00,169,ADA,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV DUKUHATAS,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 22,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 22,8:54,JAN, 22,16:54:00,480,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV BUDIKEMULIAAN,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JAN, 25,8:00:00,16:00:00,480,TERLAKSANA,,,,JAN, 25,9:08:00,JAN, 25,15:35:00,387,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cawang Baru,PHT 150kV CIPINANG #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,3,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 4,8:15:00,FEB, 4,17:33:00,558,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
