,CAWANG,CAWANG,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,28,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
,ULTG CAWANG,GI 150KV JATIRANGON,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,12,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV JATIRANGON,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,13,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV JATIRANGON,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,12,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CAWANG LAMA,KAPASITOR SC#1 150kV,,KAPASITOR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,,APR, 7,7:30:00,APR, 7,14:44:00,434,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,7A1 DIAMETER#1 500kV,,DIAMETER 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,APR, 11,8:19:00,APR, 11,23:57:00,938,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,7A2 DIAMETER#2 500kV,,DIAMETER 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,APR, 19,8:16:00,APR, 19,22:29:00,853,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,7A3 DIAMETER#3 500kV,,DIAMETER 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,APR, 18,8:18:00,APR, 18,22:27:00,849,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CAWANG LAMA,PHT 150kV CAWANG BARU #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,,APR, 15,8:50:00,APR, 15,17:04:00,494,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV CAWANG BARU,PHT 150kV CAWANG LAMA #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,,APR, 15,8:50:00,APR, 15,17:04:00,494,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CAWANG LAMA,PHT 150kV CAWANG BARU #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV CAWANG BARU,PHT 150kV CAWANG LAMA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV JATIWARINGIN,PHT 150kV NEW TAMBUN #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,8,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan R-Bekasi,APR, 29,8:26:00,APR, 29,17:18:00,532,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,TRF#3 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,11,8:00:00,16:00:00,480,JADWAL ULANG,,,"akan dilaksanakan bersamaan dengan pekerjaan kontrak penggantian OTI, masih menunggu kesiapan material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,11,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian OTI,APR, 25,8:10:00,APR, 25,18:18:00,608,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,PHT 150kV KARET BARU#1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,18,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,11,8:00:00,16:00:00,480,JADWAL ULANG,,,Personil fokus pekerjaan recovery gangguan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,PHT 150kV PLTD SENAYAN,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,1,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian sealing end,APR, 5,8:00:00,,,,#NUM!,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GEDUNGPOLA,PHT 150kV GAMBIR BARU#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,21,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan Har Off SKTT,APR, 4,7:49:00,APR, 4,16:30:00,521,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150kV CEMPAKA PUTIH,PHT 150KV GAMBIR LAMA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,18,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan Har Off SKTT,APR, 18,8:14:00,APR, 18,17:01:00,527,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,PHT 150kV CEMPAKA PUTIH #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,18,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan Har Off SKTT,APR, 18,8:14:00,APR, 18,17:01:00,527,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV KARET BARU,PHT 150kV KARET LAMA#1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,18,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV MANGGARAI,PHT 150kV PULOMAS #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,25,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV TAMAN RASUNA,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,18,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,11,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,APR, 12,8:44:00,APR, 12,22:57:00,853,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV DURENTIGA,PHT 150kV MAMPANG DUA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,4,8:00:00,16:00:00,480,TERLAKSANA,,,Bersama penggantian sealin end,APR, 20,8:00:00,APR, 20,16:00:00,480,ADA,ok,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV MAMPANG LAMA,PHT 150kV DUREN TIGA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR,4,8:00:00,16:00:00,480,TERLAKSANA,,,Bersama penggantian sealin end,APR, 20,8:00:00,APR, 20,16:00:00,480,ADA,ok,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,TRF#1 150/20kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR, 5,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,APR, 3,8:04:00,APR, 3,16:00:00,476,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,5AB1 DIAMETER#1 150kV,,DIAMETER 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR, 5,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian sealing end,APR, 5,8:00:00,APR, 5,16:00:00,480,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,5A1 DIAMETER#1 150kV,,DIAMETER 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR, 5,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian sealing end,APR, 5,8:00:00,APR, 5,16:00:00,480,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,PHT 150kV KARET LAMA#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,APR, 5,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian sealing end,APR, 5,8:00:00,APR, 5,16:00:00,480,ADA,ok,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Jatiwaringin,TRF#1 150/20kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 26,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan stability ulang terkait temuan anomali pada terminal yang terbalik,MAY, 12,10:03:00,MAY, 12,23:59:00,836,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Jatiwaringin,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY,,8:00:00,16:00:00,480,TERLAKSANA,,,Dilakukan tability ulang terkait kondisi di trafo 1 GIS Jaitiwaringin ,MAY, 25,8:41:00,MAY, 25,23:13:00,872,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CAWANG LAMA,PHT 150kV DEPOK #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 18,8:00:00,16:00:00,480,JADWAL ULANG,,,Agar dilaksanakan bersamaan dengan rencana penggantian DS pada ROB Juli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cawang Baru,PHT 150kV CIPINANG #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 20,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan cleaning isolator,MAY, 20,7:58:00,MAY, 20,16:58:00,540,ADA,ok,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cawang Baru,PHT 150kV ABADI GUNA PAPAN #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 17,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan FYI,MAY, 17,8:40:00,MAY, 17,23:22:00,882,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cipinang,PHT 150kV CAWANG BARU #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 20,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan cleaning isolator,MAY, 20,7:58:00,MAY, 20,16:58:00,540,ADA,ok,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV JATIRANGON,KAPASITOR SC#1 150kV,,KAPASITOR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 7,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 7,8:36:00,MAY, 7,16:05:00,449,ADA,ok,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV SETIABUDI,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 23,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan FYI,MAY, 23,8:24:00,MAY, 23,19:00:00,636,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 9,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 9,7:05:00,MAY, 9,10:38:00,213,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 9,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 9,10:40:00,MAY, 9,11:41:00,61,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 9,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 9,7:05:00,MAY, 9,11:41:00,276,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,PHT 150kV MAMPANG DUA #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 23,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,MAY, 23,8:26:00,MAY, 23,19:48:00,682,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV KEBON SIRIH,PHT 150kV GAMBIR LAMA,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 30,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,MAY, 18,8:22:00,MAY, 18,19:38:00,676,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,PHT 150kV KEBONSIRIH#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 30,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,MAY, 18,8:22:00,MAY, 18,19:38:00,676,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 30,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Distribusi dan penggantian OTI,MAY, 9,9:37:00,MAY, 9,19:37:00,600,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Karet Baru,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 6,8:00:00,16:00:00,480,TERLAKSANA,,,Tanpa Padam,MAY, 12,,MAY, 12,,0,ADA,-,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Karet Baru,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 6,8:00:00,16:00:00,480,TERLAKSANA,,,Tanpa Padam,MAY, 12,,MAY, 12,,0,ADA,-,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Karet Baru,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 6,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 12,8:37:00,MAY, 12,12:32:00,235,ADA,ok,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
